fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2003-1,7.5,10.0,4.9,19.0(02),-1.5(10),2.7,11.3,174.0,0.0,0.0,2.6
2003-2,7.5,10.0,4.9,16.8(23),-4.0(18),1.7,11.8,111.0,0.0,0.0,2.7
2003-3,13.1,16.4,9.7,24.5(11),5.5(07),11.6,15.6,88.2,0.0,0.0,5.7
2003-4,13.4,16.9,9.8,27.4(28),4.6(04),9.2,15.3,49.4,0.0,0.0,6.2
2003-5,14.7,18.2,11.2,28.6(04),8.1(03),11.2,17.2,123.2,2.0,0.0,7.7
2003-6,20.0,23.5,16.5,38.0(21),13.5(05),17.4,21.6,57.3,0.0,5.0,5.8
2003-7,19.5,22.1,16.8,27.5(26),13.4(17),19.4,19.0,38.6,0.0,0.0,6.8
2003-8,22.7,26.1,19.3,38.6(04),15.6(01),20.3,23.0,62.6,1.0,6.0,7.4
2003-9,19.1,22.1,16.1,30.8(18),11.2(24),16.9,21.4,139.3,1.0,1.0,5.8
2003-10,13.9,16.7,11.0,24.9(11),1.2(25),9.5,17.0,214.3,1.0,0.0,3.1
2003-11,13.0,15.7,10.2,22.2(06),4.5(18),9.5,15.8,134.0,2.0,0.0,4.3
2003-12,9.7,12.2,7.3,17.0(13),2.2(23),7.0,10.5,157.0,0.0,0.0,3.2
2003-13,14.5,17.5,11.5,38.6(04/ago),-4.0(18/feb),1.7,23.0,1348.9,7.0,12.0,5.1
2004-1,9.2,11.6,6.8,17.2(13),1.9(27),7.2,13.6,214.0,1.0,0.0,1.6
2004-2,8.1,10.7,5.5,22.7(05),-0.8(20),2.8,13.9,95.7,0.0,0.0,4.9
2004-3,8.7,11.9,5.5,23.9(16),-0.6(01),4.1,11.4,115.1,0.0,0.0,4.6
2004-4,11.0,13.7,8.2,22.6(21),3.2(09),7.8,12.0,95.0,0.0,0.0,5.5
2004-5,13.8,16.6,11.0,27.6(20),5.8(05),11.0,19.8,95.5,0.0,0.0,6.9
2004-6,18.7,21.8,15.4,31.6(22),11.8(20),17.3,18.2,52.9,0.0,2.0,7.7
2004-7,18.5,21.2,15.8,29.8(31),12.8(10),17.5,18.8,48.5,0.0,0.0,7.2
2004-8,20.7,24.3,17.0,34.2(01),13.8(25),19.6,20.2,134.5,1.0,4.0,7.5
2004-9,18.8,21.7,15.9,32.0(05),11.5(17),16.8,23.2,104.6,1.0,1.0,5.6
2004-10,16.6,20.0,13.2,28.2(04),8.5(15),12.6,17.4,176.6,2.0,0.0,4.3
2004-11,9.9,12.1,7.5,18.6(03),3.0(14),7.0,13.5,149.8,1.0,0.0,3.7
2004-12,8.7,10.6,6.7,15.8(13),0.3(26),6.2,12.0,149.7,0.0,0.0,1.9
2004-13,13.6,16.4,10.7,34.2(01/ago),-0.8(20/feb),2.8,23.2,1431.9,6.0,7.0,5.1
2005-1,7.7,10.4,5.0,15.8(07),-1.8(27),1.7,10.2,98.8,0.0,0.0,4.3
2005-2,5.4,7.8,2.9,13.5(08),-3.9(28),0.6,9.5,79.8,0.0,0.0,3.7
2005-3,10.8,14.5,7.1,25.5(20),-4.7(01),2.2,18.0,65.7,0.0,0.0,6.3
2005-4,12.1,15.6,8.5,29.4(30),3.1(09),7.0,12.5,201.8,1.0,0.0,5.0
2005-5,15.4,19.0,11.8,33.0(27),8.4(07),12.4,15.4,75.5,0.0,3.0,6.8
2005-6,19.2,22.5,15.8,35.0(18),12.4(05),16.8,19.1,24.3,0.0,3.0,7.2
2005-7,19.8,22.7,16.9,32.8(14),13.2(05),17.8,20.4,37.7,0.0,2.0,7.5
2005-8,19.5,22.4,16.5,34.0(30),13.4(24),18.1,19.4,55.4,0.0,1.0,7.6
2005-9,17.6,20.4,14.7,34.0(03),10.0(18),16.2,19.0,133.6,1.0,1.0,6.5
2005-10,17.6,20.7,14.4,25.0(08),9.7(05),15.4,19.8,99.5,0.0,0.0,5.4
2005-11,10.0,12.5,7.5,21.0(02),1.8(26),6.0,17.8,296.4,3.0,0.0,3.7
2005-12,6.0,8.1,3.9,15.5(04),-0.4(28),2.5,9.0,194.7,2.0,0.0,2.8
2005-13,13.4,16.4,10.4,35.0(18/jun),-4.7(01/mar),0.6,20.4,1363.2,7.0,10.0,5.6
