fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2000-1,6.8,9.0,4.5,16.8(31),-1.6(26),3.0,9.2,19.4,0.0,0.0,3.5
2000-2,10.2,12.9,7.5,19.6(05),3.6(13),8.6,14.4,111.3,0.0,0.0,3.0
2000-3,9.3,12.0,6.7,17.4(06),2.4(05),7.2,12.4,131.3,1.0,0.0,4.7
2000-4,11.9,15.5,8.2,25.0(25),3.4(07),8.8,14.0,197.9,1.0,0.0,4.7
2000-5,15.6,19.0,12.3,26.0(14),9.4(20),15.6,15.0,92.3,0.0,0.0,5.9
2000-6,17.7,21.1,14.3,32.6(18),11.0(05),14.4,20.4,67.9,0.0,4.0,6.7
2000-7,18.7,22.0,15.4,33.4(06),12.2(11),16.6,18.3,171.5,1.0,2.0,7.9
2000-8,19.5,22.6,16.4,31.2(10),13.2(22),18.6,19.2,116.5,0.0,1.0,6.7
2000-9,18.5,21.7,15.2,31.2(10),10.6(20),15.0,19.4,82.1,0.0,1.0,6.7
2000-10,14.2,17.0,11.4,22.8(18),8.2(30),11.6,14.6,290.1,2.0,0.0,3.7
2000-11,11.0,13.7,8.2,20.5(28),4.8(15),10.0,15.0,216.2,0.0,0.0,2.6
2000-12,12.2,14.6,9.8,21.3(07),2.0(31),9.6,14.8,86.0,0.0,0.0,3.2
2000-13,13.8,16.8,10.8,33.4(06/jul),-1.6(26/ene),3.0,20.4,1582.5,5.0,8.0,4.9
2001-1,10.0,12.4,7.6,19.4(05),4.0(30),7.2,12.6,146.8,1.0,0.0,2.6
2001-2,8.8,11.3,6.2,19.5(11),0.4(26),5.7,14.0,77.8,0.0,0.0,3.5
2001-3,13.6,17.2,10.0,22.4(22),3.8(01),9.6,16.8,126.9,0.0,0.0,4.2
2001-4,11.0,14.0,7.9,25.0(01),3.6(15),9.4,10.8,108.4,0.0,0.0,5.2
2001-5,14.6,17.7,11.4,31.0(28),5.6(01),9.4,18.8,63.5,0.0,1.0,6.3
2001-6,16.9,19.8,13.9,26.6(21),11.4(17),16.6,17.6,66.2,0.0,0.0,7.5
2001-7,18.3,20.9,15.6,27.2(31),12.0(16),16.6,20.6,145.4,1.0,0.0,6.1
2001-8,20.5,23.7,17.2,31.2(01),13.0(11),19.4,21.4,67.5,0.0,4.0,6.1
2001-9,17.1,20.0,14.1,26.0(30),10.2(18),16.2,17.0,69.9,0.0,0.0,6.3
2001-10,18.7,22.6,14.9,29.8(02),10.6(04),17.0,22.0,56.3,0.0,0.0,6.2
2001-11,8.7,11.0,6.4,20.3(03),1.0(10),6.2,11.6,94.0,0.0,0.0,2.9
2001-12,6.5,9.2,3.8,17.0(02),-5.6(15),1.5,11.7,35.5,0.0,0.0,4.4
2001-13,13.7,16.7,10.8,31.2(01/ago),-5.6(15/dic),1.5,22.0,1058.2,2.0,5.0,5.1
2002-1,11.0,13.6,8.2,19.7(29),1.8(01),9.0,15.1,31.0,0.0,0.0,5.0
2002-2,10.2,12.9,7.5,20.3(02),3.6(16),6.6,13.5,145.9,1.0,0.0,3.1
2002-3,11.6,14.5,8.6,22.6(13),4.0(02),9.2,14.3,44.0,0.0,0.0,5.7
2002-4,11.3,14.4,8.2,20.7(30),4.2(11),5.9,11.6,109.1,1.0,0.0,6.3
2002-5,13.9,17.8,10.1,31.2(16),6.2(03),11.4,16.8,243.1,3.0,1.0,5.7
2002-6,16.0,18.7,13.2,30.4(14),9.5(06),13.4,15.6,119.1,0.0,1.0,4.4
2002-7,17.5,20.2,14.8,29.1(19),11.6(05),17.4,18.1,83.3,0.0,0.0,5.5
2002-8,17.8,19.9,15.6,25.0(14),12.4(01),17.1,18.0,280.4,2.0,0.0,4.0
2002-9,17.9,21.1,14.6,28.2(20),8.0(25),14.6,20.8,36.9,0.0,0.0,7.4
2002-10,16.0,19.2,12.9,24.5(29),8.5(18),13.5,18.4,176.4,2.0,0.0,4.0
2002-11,12.7,15.4,9.9,22.8(02),6.6(26),11.8,13.8,154.8,1.0,0.0,3.7
2002-12,11.8,13.9,9.6,19.5(23),4.2(07),7.0,14.8,252.9,3.0,0.0,2.6
2002-13,14.0,16.8,11.1,31.2(16/may),1.8(01/ene),5.9,20.8,1676.9,13.0,2.0,4.8
