fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2012-1,8.3,10.7,5.9,16.5(01),0.8(30),5.4,10.5,201.2,1.0,0.0,3.0
2012-2,4.5,7.4,1.5,14.2(29),-5.3(08),0.2,8.9,53.9,0.0,0.0,4.3
2012-3,11.0,14.0,7.8,23.2(24),3.4(07),8.2,14.5,56.1,0.0,0.0,7.3
2012-4,10.1,12.6,7.5,21.5(25),4.6(17),9.2,10.7,218.4,1.0,0.0,2.7
2012-5,15.6,19.3,11.7,32.2(10),8.0(01),11.3,19.0,110.2,1.0,2.0,7.5
2012-6,18.2,22.6,13.8,35.8(27),11.0(09),16.4,19.5,99.6,1.0,3.0,6.6
2012-7,18.2,21.7,14.8,33.1(26),10.6(02),17.2,19.0,53.9,0.0,1.0,8.4
2012-8,20.7,24.2,17.2,36.7(17),14.4(07),17.6,20.6,70.7,0.0,4.0,6.9
2012-9,18.1,21.4,14.7,31.4(23),10.2(30),16.2,20.6,96.1,0.0,2.0,5.9
2012-10,15.4,18.7,12.1,28.2(08),2.2(29),9.3,19.5,256.2,1.0,0.0,4.7
2012-11,11.7,14.8,8.7,21.7(14),2.6(30),5.2,15.0,244.2,2.0,0.0,3.6
2012-12,10.3,13.1,7.4,21.3(23),-0.6(12),5.4,14.0,142.3,2.0,0.0,3.0
2012-13,13.5,16.7,10.3,36.7(17/ago),-5.3(08/feb),0.2,20.6,1602.8,9.0,12.0,5.3
2013-1,8.3,10.9,5.6,19.8(30),2.4(25),5.7,11.0,369.8,3.0,0.0,2.4
2013-2,6.8,9.4,4.1,16.2(01),-3.0(23),2.3,10.2,249.8,0.0,0.0,2.8
2013-3,10.6,13.9,7.3,20.9(21),0.2(13),4.8,13.0,135.3,0.0,0.0,4.7
2013-4,11.6,15.4,7.8,28.5(17),2.2(05),7.5,12.8,137.5,1.0,0.0,6.4
2013-5,11.5,14.1,8.8,24.0(06),5.6(26),10.3,13.0,265.0,1.0,0.0,4.5
2013-6,15.1,17.7,12.4,27.2(12),10.4(04),12.3,15.2,188.2,1.0,0.0,5.9
2013-7,20.8,23.9,17.8,36.4(31),15.0(29),18.8,20.3,49.2,0.0,1.0,8.4
2013-8,19.4,22.0,16.7,33.8(01),14.9(20),18.0,19.1,72.6,0.0,1.0,7.0
2013-9,18.7,22.0,15.3,32.8(04),11.5(09),16.0,21.8,110.0,0.0,1.0,5.6
2013-10,17.4,20.5,14.3,28.4(02),7.5(11),13.6,20.6,77.8,0.0,0.0,4.7
2013-11,9.9,12.2,7.5,21.5(02),0.2(28),4.4,15.0,405.1,3.0,0.0,1.6
2013-12,9.7,12.5,6.8,18.0(16),2.3(21),6.8,13.0,84.8,0.0,0.0,4.4
2013-13,13.3,16.2,10.4,36.4(31/jul),-3.0(23/feb),2.3,21.8,2145.1,9.0,3.0,4.9
2014-1,10.4,13.0,7.7,18.2(07),3.7(30),8.4,14.5,349.3,3.0,0.0,2.1
2014-2,9.6,13.1,6.0,22.7(14),2.9(01),8.8,10.0,178.6,0.0,0.0,3.6
2014-3,10.9,14.1,7.7,22.7(08),2.0(23),8.8,14.2,180.3,1.0,0.0,4.5
2014-4,13.3,16.4,10.2,23.2(06),8.0(09),12.8,14.9,97.2,0.0,0.0,6.1
2014-5,13.5,16.8,10.2,26.9(05),6.9(23),12.5,13.7,104.8,0.0,0.0,6.6
2014-6,17.7,20.9,14.5,31.2(06),9.0(05),14.5,17.4,53.7,0.0,1.0,7.7
2014-7,18.8,21.4,16.1,33.4(17),13.0(07),17.4,18.6,115.2,0.0,1.0,6.3
2014-8,18.8,21.6,16.0,25.8(09),12.5(17),18.0,18.8,80.4,0.0,0.0,6.5
2014-9,19.6,22.9,16.2,28.6(16),12.3(27),17.8,19.0,45.4,0.0,0.0,7.0
2014-10,18.3,21.9,14.7,27.9(18),8.1(23),16.0,19.0,49.6,0.0,0.0,6.3
2014-11,13.7,16.3,11.1,23.2(23),6.4(04),10.2,16.3,238.7,2.0,0.0,2.9
2014-12,8.3,10.6,5.9,13.3(12),-0.8(29),3.0,9.9,232.1,2.0,0.0,2.0
2014-13,14.4,17.4,11.4,33.4(17/jul),-0.8(29/dic),3.0,19.0,1725.3,8.0,2.0,5.1
