fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2006-1,6.9,8.8,4.9,11.6(11),-1.6(28),2.4,8.4,102.8,0.0,0.0,2.8
2006-2,6.5,9.0,4.1,15.4(17),2.0(06),4.2,8.8,67.8,0.0,0.0,3.3
2006-3,11.8,15.3,8.3,24.4(25),2.1(05),7.0,16.6,168.6,1.0,0.0,4.5
2006-4,11.8,14.7,8.9,26.0(04),4.5(11),9.6,11.8,80.4,0.0,0.0,5.5
2006-5,15.4,19.1,11.7,32.5(17),6.6(01),13.7,15.4,62.0,0.0,1.0,6.5
2006-6,18.6,22.0,15.2,33.0(08),9.5(01),15.8,17.6,145.8,3.0,3.0,7.7
2006-7,21.7,24.6,18.6,36.0(18),15.0(29),19.7,22.0,87.3,1.0,3.0,6.4
2006-8,19.1,21.6,16.5,26.9(31),13.2(31),18.6,19.6,66.3,0.0,0.0,6.5
2006-9,19.7,22.9,16.4,29.8(20),12.2(27),17.1,20.0,109.5,2.0,0.0,5.7
2006-10,18.6,21.8,15.3,26.8(25),11.6(06),16.5,20.0,110.1,1.0,0.0,5.0
2006-11,14.2,17.1,11.2,21.1(24),5.4(02),11.0,14.7,128.3,1.0,0.0,4.6
2006-12,8.5,11.4,5.6,19.2(31),-0.8(26),3.1,12.0,120.0,2.0,0.0,3.5
2006-13,14.4,17.4,11.4,36.0(18/jul),-1.6(28/ene),2.4,22.0,1248.9,11.0,7.0,5.2
2007-1,9.2,11.6,6.8,20.0(18),-3.2(26),0.6,13.0,144.6,2.0,0.0,2.9
2007-2,11.2,14.4,8.0,21.5(16),4.0(03),7.3,13.3,134.5,0.0,0.0,3.4
2007-3,9.7,12.4,7.0,25.6(04),1.8(22),6.2,13.0,211.0,1.0,0.0,3.2
2007-4,12.9,15.7,10.0,27.7(24),4.4(04),8.5,12.8,100.6,0.0,0.0,4.8
2007-5,14.4,17.4,11.4,26.8(10),7.3(02),10.7,14.5,120.9,0.0,0.0,4.2
2007-6,17.2,20.5,13.9,28.8(19),10.6(28),14.1,19.0,69.4,0.0,0.0,6.5
2007-7,18.6,22.0,15.2,33.6(15),12.7(25),17.8,17.7,53.6,0.0,2.0,6.9
2007-8,18.9,22.0,15.7,34.6(28),12.3(18),16.8,23.9,277.5,1.0,3.0,6.5
2007-9,16.6,19.3,13.8,29.5(16),8.0(27),13.8,18.0,99.0,0.0,0.0,6.6
2007-10,14.1,16.5,11.6,23.8(14),6.0(21),10.6,17.5,142.5,2.0,0.0,4.6
2007-11,8.7,11.2,6.2,17.2(20),-1.4(17),4.0,9.5,44.8,0.0,0.0,3.5
2007-12,8.5,11.0,5.9,16.3(05),0.6(13),5.5,10.0,137.7,1.0,0.0,3.9
2007-13,13.3,16.2,10.5,34.6(28/ago),-3.2(26/ene),0.6,23.9,1536.1,7.0,5.0,4.8
2008-1,9.9,12.6,7.1,16.8(21),1.0(01),8.8,11.8,138.6,1.0,0.0,3.5
2008-2,11.8,14.8,8.8,20.8(23),2.0(02),9.0,13.4,32.6,0.0,0.0,6.0
2008-3,9.5,12.3,6.5,21.7(29),1.0(23),6.6,11.0,238.0,0.0,0.0,3.2
2008-4,11.7,15.2,8.1,23.8(26),3.8(07),10.6,13.6,123.7,0.0,0.0,6.1
2008-5,15.5,19.1,11.9,29.0(03),6.0(01),14.5,17.8,197.4,1.0,0.0,6.1
2008-6,16.7,19.3,14.0,32.8(21),10.0(18),15.6,17.2,133.4,1.0,1.0,5.3
2008-7,18.4,21.8,15.0,32.8(31),11.2(18),17.4,18.4,76.5,0.0,2.0,7.7
2008-8,19.1,22.5,15.7,32.5(30),12.1(15),18.1,19.1,99.9,0.0,1.0,6.9
2008-9,17.1,20.2,14.0,29.8(08),9.6(27),16.6,18.4,73.2,0.0,0.0,6.0
2008-10,14.0,17.2,10.8,23.7(13),4.0(29),9.0,19.0,327.8,6.0,0.0,4.3
2008-11,9.6,11.9,7.3,18.7(10),1.1(26),6.1,12.9,248.3,3.0,0.0,2.2
2008-12,7.6,9.9,5.4,15.2(31),0.4(10),4.7,10.9,220.1,2.0,0.0,2.2
2008-13,13.4,16.4,10.4,32.8(21/jun),0.4(10/dic),4.7,19.1,1909.5,14.0,4.0,5.0
