fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2015-1,8.2,10.6,5.7,16.4(09),1.9(20),6.0,10.0,213.6,1.0,0.0,3.0
2015-2,6.5,9.1,3.8,15.1(19),-2.0(06),0.9,8.3,296.0,3.0,0.0,2.6
2015-3,9.3,11.7,6.9,17.5(17),3.1(23),7.2,11.2,177.0,0.0,0.0,3.3
2015-4,13.7,17.3,10.1,27.8(14),4.5(06),10.0,17.6,82.3,1.0,0.0,6.4
2015-5,14.9,18.4,11.4,31.0(10),9.0(20),13.0,14.5,70.9,0.0,1.0,4.6
2015-6,17.8,20.9,14.7,35.0(30),12.0(14),15.6,19.0,84.7,0.0,2.0,6.3
2015-7,20.2,23.3,17.1,35.4(03),13.5(26),17.9,19.8,69.5,1.0,3.0,6.7
2015-8,20.0,24.2,15.8,33.5(02),12.5(16),18.0,19.0,184.6,2.0,5.0,7.8
2015-9,16.4,19.7,13.0,27.2(16),11.0(18),16.9,16.4,58.9,0.0,0.0,6.1
2015-10,15.3,18.5,12.1,26.7(05),5.1(15),12.3,19.5,60.1,0.0,0.0,4.6
2015-11,13.6,16.3,10.8,25.6(08),1.1(23),7.8,16.5,123.8,1.0,0.0,4.1
2015-12,13.7,16.6,10.7,21.5(19),5.9(01),11.7,16.7,15.7,0.0,0.0,5.0
2015-13,14.1,17.2,11.0,35.4(03/jul),-2.0(06/feb),0.9,19.8,1437.1,9.0,11.0,5.0
2016-1,10.8,14.0,7.6,19.0(24),2.1(16),8.1,12.3,143.5,0.0,0.0,2.6
2016-2,9.0,11.8,6.1,17.7(08),0.3(17),6.0,10.4,323.0,3.0,0.0,3.6
2016-3,9.1,12.0,6.2,23.5(26),2.6(08),7.2,10.7,204.7,1.0,0.0,3.5
2016-4,11.8,14.9,8.6,21.4(14),4.0(02),10.2,12.8,62.8,0.0,0.0,5.2
2016-5,14.9,18.2,11.5,26.8(05),5.5(02),12.3,15.8,93.3,0.0,0.0,6.6
2016-6,17.2,20.2,14.0,34.5(22),11.0(15),16.2,17.5,60.8,0.0,1.0,6.8
2016-7,19.2,21.8,16.5,36.7(18),12.5(15),18.5,22.2,85.1,0.0,2.0,5.2
2016-8,20.6,24.3,16.8,34.5(27),13.7(22),20.0,20.0,64.4,0.0,4.0,8.6
2016-9,19.1,22.7,15.4,35.6(07),11.9(14),17.6,19.5,118.5,0.0,2.0,6.5
2016-10,15.1,18.2,11.9,24.5(03),6.9(11),13.7,16.0,109.2,1.0,0.0,5.4
2016-11,10.8,13.2,8.3,21.6(01),3.5(23),8.2,13.0,299.9,4.0,0.0,3.5
2016-12,11.0,13.4,8.5,18.6(05),3.0(31),7.2,13.2,20.9,0.0,0.0,4.6
2016-13,14.1,17.1,11.0,36.7(18/jul),0.3(17/feb),6.0,22.2,1586.1,9.0,9.0,5.2
2017-1,6.2,8.7,3.6,19.1(31),-2.9(18),-0.4,11.8,144.3,1.0,0.0,4.3
2017-2,10.7,13.8,7.5,18.5(01),3.5(09),8.8,13.8,106.0,0.0,0.0,4.3
2017-3,11.8,15.3,8.3,24.1(30),3.2(23),8.8,16.4,148.2,0.0,0.0,4.6
2017-4,11.8,15.1,8.5,26.5(08),4.0(20),9.7,13.5,74.3,0.0,0.0,8.0
2017-5,16.5,20.7,12.3,31.3(28),6.9(01),13.5,18.0,88.5,0.0,2.0,7.3
2017-6,19.0,22.3,15.7,36.2(19),10.7(03),14.1,22.5,122.4,0.0,4.0,5.3
2017-7,19.1,22.3,16.0,34.4(18),11.6(01),15.0,19.0,50.4,0.0,3.0,5.3
2017-8,19.6,23.0,16.3,34.7(14),12.5(12),18.4,18.8,134.6,1.0,2.0,6.3
2017-9,16.8,20.1,13.6,28.2(28),8.3(20),15.8,16.7,135.1,1.0,0.0,5.8
2017-10,16.3,19.5,13.1,26.5(14),6.3(31),14.2,20.2,80.9,0.0,0.0,5.2
2017-11,11.0,13.8,8.2,21.4(02),2.0(30),8.0,16.3,251.3,2.0,0.0,3.9
2017-12,8.6,11.5,5.7,18.2(10),-0.5(03),3.4,13.7,232.5,1.0,0.0,2.5
2017-13,14.0,17.2,10.7,36.2(19/jun),-2.9(18/ene),-0.4,22.5,1568.5,6.0,11.0,5.2
