fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1991-1,7.6,10.2,4.9,18.4(10),-1.4(29),4.0,15.8,90.1,0.0,0.0,3.0
1991-2,7.4,10.2,4.6,19.4(23),-1.2(15),3.4,12.4,59.4,0.0,0.0,3.8
1991-3,11.3,14.1,8.5,22.6(20),5.0(23),8.2,13.6,105.6,1.0,0.0,3.8
1991-4,9.5,12.6,6.3,24.8(10),2.6(22),8.4,10.4,207.2,1.0,0.0,5.4
1991-5,12.1,14.5,9.7,29.8(28),4.2(05),9.2,16.2,125.4,1.0,0.0,4.8
1991-6,15.3,18.0,12.6,24.8(30),9.0(19),15.0,16.2,37.8,0.0,0.0,6.3
1991-7,18.7,21.8,15.6,35.4(10),11.4(06),15.4,18.0,70.5,0.0,1.0,5.5
1991-8,20.6,23.7,17.4,35.8(26),14.2(02),18.8,20.0,40.5,0.0,3.0,7.2
1991-9,19.5,22.9,16.2,29.6(21),11.2(29),16.0,20.8,204.2,3.0,0.0,6.2
1991-10,12.6,15.5,9.6,19.8(04),3.4(23),9.0,13.8,139.3,0.0,0.0,4.0
1991-11,11.0,13.7,8.4,20.4(03),1.0(24),7.2,15.6,241.7,1.0,0.0,2.7
1991-12,8.8,11.2,6.4,16.2(23),2.0(26),6.0,9.7,36.4,0.0,0.0,4.3
1991-13,12.9,15.7,10.0,35.8(26/ago),-1.4(29/ene),3.4,20.8,1358.1,7.0,4.0,4.8
1992-1,6.3,8.7,3.8,16.8(08),-3.0(23),3.0,8.8,66.6,1.0,0.0,3.1
1992-2,8.6,11.4,5.7,17.8(12),0.6(19),5.6,12.4,50.2,0.0,0.0,5.2
1992-3,9.1,11.6,6.5,18.0(20),2.4(27),6.6,10.4,115.5,0.0,0.0,3.1
1992-4,10.5,13.2,7.8,22.4(14),4.2(01),8.4,11.6,115.3,0.0,0.0,3.8
1992-5,16.0,19.8,12.2,30.0(13),6.2(02),10.0,21.6,85.9,0.0,1.0,7.6
1992-6,14.5,17.2,11.9,29.4(28),8.8(07),12.4,15.6,178.4,1.0,0.0,4.2
1992-7,19.1,22.2,15.9,33.4(29),12.0(11),15.8,20.4,87.6,0.0,2.0,6.3
1992-8,20.0,23.4,16.5,32.2(07),11.8(31),16.8,20.0,169.0,2.0,2.0,6.1
1992-9,17.1,20.6,13.7,30.0(16),9.2(06),15.6,16.6,122.3,1.0,1.0,5.1
1992-10,12.1,14.4,9.8,18.4(02),6.2(18),9.8,13.6,360.1,3.0,0.0,2.0
1992-11,13.4,16.1,10.7,22.4(23),7.4(02),11.2,15.0,118.2,0.0,0.0,3.1
1992-12,9.4,11.6,7.2,20.0(02),1.8(31),6.2,12.0,199.6,3.0,0.0,2.2
1992-13,13.0,15.9,10.1,33.4(29/jul),-3.0(23/ene),3.0,21.6,1668.7,11.0,6.0,4.3
1993-1,10.3,13.0,7.7,19.0(13),2.4(02),6.0,15.0,5.5,0.0,0.0,4.3
1993-2,8.0,10.4,5.5,16.6(12),-2.4(25),2.6,10.6,42.0,0.0,0.0,5.0
1993-3,9.9,13.0,6.8,23.6(31),-2.0(01),2.4,12.4,57.6,0.0,0.0,5.2
1993-4,11.3,14.8,7.8,25.4(19),4.0(02),8.6,14.6,176.3,1.0,0.0,4.9
1993-5,14.7,18.2,11.2,27.8(29),7.0(03),11.0,15.2,94.4,0.0,0.0,6.1
1993-6,16.7,19.3,14.0,29.2(18),10.6(12),15.4,16.6,102.6,1.0,0.0,5.5
1993-7,17.2,19.8,14.6,31.6(24),10.0(10),15.6,17.2,115.5,1.0,1.0,6.5
1993-8,19.5,22.5,16.5,34.2(21),12.2(30),16.2,23.4,95.3,1.0,3.0,6.5
1993-9,16.3,19.3,13.3,27.2(20),8.6(27),14.0,16.4,221.9,3.0,0.0,5.0
1993-10,13.3,16.2,10.5,24.2(11),4.8(22),7.0,15.0,110.5,0.0,0.0,3.9
1993-11,10.2,13.0,7.4,20.2(02),2.0(21),8.0,14.2,108.9,0.0,0.0,4.0
1993-12,10.4,13.0,7.7,18.2(20),3.8(26),8.4,13.0,233.6,3.0,0.0,2.2
1993-13,13.2,16.0,10.3,34.2(21/ago),-2.4(25/feb),2.4,23.4,1364.1,10.0,4.0,4.9
