fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2009-1,9.1,12.9,5.3,19.7(30),-0.6(12),4.4,11.6,207.9,2.0,0.0,2.2
2009-2,8.9,13.3,4.5,22.4(28),-1.1(16),8.1,11.4,69.6,0.0,0.0,3.3
2009-3,10.7,15.7,5.7,25.6(18),0.9(25),10.1,11.5,94.6,0.0,0.0,5.7
2009-4,12.4,16.7,8.1,26.8(23),5.1(13),12.1,11.0,97.5,0.0,0.0,4.1
2009-5,16.0,20.1,11.9,30.6(29),6.0(05),15.0,16.5,55.7,0.0,1.0,4.9
2009-6,19.6,24.4,14.7,33.6(29),11.7(21),18.1,18.9,34.1,0.0,2.0,6.4
2009-7,21.4,26.4,16.2,37.9(21),12.5(31),20.1,18.7,26.0,0.0,5.0,5.6
2009-8,21.9,27.0,16.9,39.3(23),12.8(29),20.5,21.3,27.7,0.0,5.0,4.9
2009-9,19.2,24.1,14.3,35.9(08),10.3(06),17.5,18.4,187.6,2.0,2.0,4.6
2009-10,17.2,22.6,11.8,31.8(06),2.4(16),14.3,20.0,68.7,0.0,1.0,4.6
2009-11,14.5,18.9,10.2,27.6(01),5.9(27),12.4,16.4,203.9,2.0,0.0,2.6
2009-12,10.1,14.2,5.9,20.3(29),-0.1(16),6.4,14.3,96.9,0.0,0.0,1.9
2009-13,15.1,19.7,10.5,39.3(23/ago),-1.1(16/feb),4.4,21.3,1170.2,6.0,16.0,4.2
2010-1,8.7,12.2,5.1,19.8(19),-0.6(11),6.0,11.9,187.4,1.0,0.0,1.4
2010-2,9.6,13.5,5.7,24.2(27),0.1(15),3.6,14.5,46.9,0.0,0.0,2.9
2010-3,11.7,16.3,7.1,24.9(17),-0.1(08),6.1,16.6,54.0,0.0,0.0,3.4
2010-4,14.4,20.1,8.8,33.1(28),3.8(05),14.2,14.2,48.1,0.0,1.0,6.2
2010-5,15.1,20.1,10.1,29.9(23),5.2(14),12.2,16.5,92.5,0.0,0.0,5.2
2010-6,18.2,22.6,13.8,29.2(30),10.2(17),15.4,17.4,239.8,2.0,0.0,5.6
2010-7,21.0,25.6,16.3,30.4(07),13.1(24),20.5,19.0,31.0,0.0,1.0,5.1
2010-8,21.0,26.1,15.8,35.1(21),11.4(31),22.3,21.4,26.5,0.0,4.0,5.2
2010-9,19.0,24.6,13.4,33.0(05),8.0(19),18.0,17.0,58.2,0.0,3.0,6.0
2010-10,15.8,21.0,10.7,31.7(02),3.5(26),15.1,20.7,113.7,0.0,1.0,3.3
2010-11,11.5,15.4,7.5,22.5(04),-0.9(29),9.2,14.0,248.3,0.0,0.0,1.8
2010-12,8.6,12.9,4.3,22.6(06),-3.0(26),6.0,13.4,154.4,0.0,0.0,2.6
2010-13,14.6,19.2,9.9,35.1(21/ago),-3.0(26/dic),3.6,21.4,1300.8,3.0,10.0,4.1
2011-1,9.6,13.4,5.9,22.2(07),-1.7(24),6.5,18.0,24.6,0.0,0.0,2.3
2011-2,10.9,16.1,5.8,22.5(08),1.1(06),9.0,11.1,118.0,0.0,0.0,
2011-3,12.7,17.2,8.0,24.0(31),0.4(04),9.0,12.9,83.8,0.0,0.0,3.7
2011-4,16.9,22.4,11.4,33.0(06),5.8(13),13.2,17.4,39.9,0.0,4.0,6.0
2011-5,17.9,23.0,12.6,34.3(25),9.1(15),17.1,15.2,28.8,0.0,1.0,5.6
2011-6,19.1,24.1,14.2,41.0(27),8.5(01),18.7,18.9,30.9,0.0,2.0,5.0
2011-7,19.8,24.2,15.3,31.4(08),11.0(01),19.7,19.0,82.7,0.0,2.0,5.4
2011-8,21.5,26.6,16.5,36.8(20),8.8(10),20.6,21.9,36.8,0.0,5.0,5.0
2011-9,21.5,27.1,16.0,38.2(09),11.8(06),19.0,20.7,33.3,0.0,9.0,6.3
2011-10,17.7,23.2,12.1,32.6(02),6.3(21),16.9,21.4,55.6,0.0,2.0,5.6
2011-11,15.6,19.6,11.5,24.4(12),4.7(28),15.0,18.3,207.1,3.0,0.0,3.4
2011-12,11.3,15.2,7.4,19.8(01),-0.3(26),10.9,13.0,162.6,1.0,0.0,2.0
2011-13,16.2,21.0,11.4,41.0(27/jun),-1.7(24/ene),6.5,21.9,904.1,4.0,25.0,
