fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2022-1,8.8,13.7,3.9,24.4(01),-2.2(23),8.5,14.7,119.8,1.0,0.0,4.8
2022-2,10.1,16.0,4.1,21.7(28),0.0(26),11.4,7.8,36.7,0.0,0.0,4.2
2022-3,12.8,16.8,8.7,22.7(01),4.5(06),9.8,15.5,123.1,0.0,0.0,3.1
2022-4,12.7,17.3,8.1,26.3(26),1.4(06),9.1,14.9,99.0,1.0,0.0,4.7
2022-5,17.8,22.9,12.6,34.2(18),8.3(06),16.7,16.7,21.2,0.0,3.0,6.3
2022-6,20.3,25.3,15.2,40.9(18),10.0(28),16.4,20.5,50.5,0.0,4.0,5.5
2022-7,22.6,28.6,16.6,41.2(17),9.7(01),21.0,20.4,5.9,0.0,10.0,9.2
2022-8,23.4,28.6,18.1,39.6(11),14.1(19),19.7,22.2,33.5,0.0,10.0,6.9
2022-9,20.2,25.8,14.5,39.4(11),9.1(21),15.6,22.0,106.7,1.0,6.0,5.5
2022-10,20.7,25.5,15.8,30.4(28),10.7(01),20.4,22.6,16.2,0.0,2.0,4.1
2022-11,14.0,18.7,9.2,24.2(13),5.1(30),11.7,19.0,173.9,0.0,0.0,3.0
2022-12,12.4,16.3,8.6,23.2(31),2.1(04),7.3,18.1,63.3,0.0,0.0,2.0
2022-13,16.3,21.3,11.3,41.2(17/jul),-2.2(23/ene),7.3,22.6,849.8,3.0,35.0,4.9
