fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1991-1,8.3,12.8,3.7,21.0(09),-1.2(21),7.5,14.0,88.2,0.0,0.0,2.6
1991-2,8.1,13.5,2.7,23.5(24),-3.2(15),6.7,6.8,53.7,0.0,0.0,3.8
1991-3,11.9,16.8,7.0,25.6(20),2.0(30),9.2,13.5,132.1,1.0,0.0,3.7
1991-4,10.6,16.1,5.1,27.3(10),-1.2(22),9.4,11.0,128.5,0.0,0.0,5.0
1991-5,13.5,17.9,9.0,31.0(28),5.2(06),11.3,14.8,151.4,2.0,1.0,5.5
1991-6,17.0,22.1,11.8,31.4(30),6.4(19),16.4,16.8,16.5,0.0,1.0,6.4
1991-7,20.0,25.1,14.8,35.0(10),9.8(06),16.4,17.9,49.3,0.0,4.0,5.3
1991-8,21.9,27.4,16.4,33.7(13),13.4(02),21.5,19.5,24.3,0.0,5.0,7.3
1991-9,21.2,27.0,15.3,34.6(21),10.6(29),16.6,20.3,144.4,1.0,9.0,5.8
1991-10,13.7,18.6,8.8,25.5(04),1.5(24),13.5,13.0,115.2,1.0,0.0,3.7
1991-11,12.1,16.0,8.1,22.8(01),-0.5(24),10.2,14.3,154.1,1.0,0.0,2.9
1991-12,9.0,14.0,4.1,17.5(05),-3.2(27),8.6,10.6,15.7,0.0,0.0,4.2
1991-13,13.9,18.9,8.9,35.0(10/jul),-3.2(15/feb),6.7,20.3,1073.4,6.0,20.0,4.7
1992-1,6.9,11.3,2.6,20.6(08),-3.0(29),6.1,8.5,33.4,0.0,0.0,2.9
1992-2,9.1,15.0,3.2,20.7(11),-2.1(22),9.0,12.8,22.0,0.0,0.0,5.0
1992-3,10.2,15.3,5.0,27.3(20),1.8(30),9.6,10.2,108.0,1.0,0.0,3.3
1992-4,11.8,16.7,6.9,23.8(20),2.8(12),11.5,10.1,67.7,0.0,0.0,5.0
1992-5,17.1,23.6,10.5,34.8(16),4.9(05),13.7,16.7,38.9,0.0,4.0,7.9
1992-6,15.7,20.4,11.0,31.6(28),6.0(12),14.3,16.2,162.0,1.0,1.0,4.7
1992-7,20.5,25.5,15.5,35.0(29),10.0(11),19.0,19.5,54.9,0.0,7.0,6.3
1992-8,21.0,26.6,15.3,35.1(27),10.7(31),20.0,19.3,105.9,1.0,5.0,5.9
1992-9,17.8,23.3,12.3,34.2(16),9.2(24),16.0,16.3,100.2,1.0,2.0,4.8
1992-10,13.1,16.5,9.7,23.3(01),4.1(18),12.0,13.2,432.2,5.0,0.0,1.8
1992-11,14.3,18.5,10.1,24.3(23),4.8(22),12.9,13.6,92.1,0.0,0.0,3.0
1992-12,10.4,14.1,6.7,21.8(02),-1.7(31),10.0,12.2,132.3,0.0,0.0,2.4
1992-13,14.0,18.9,9.1,35.1(27/ago),-3.0(29/ene),6.1,19.5,1349.6,9.0,19.0,4.4
1993-1,10.1,15.7,4.4,21.6(13),-0.2(24),8.6,13.5,6.4,0.0,0.0,3.8
1993-2,8.1,13.6,2.6,19.7(09),-5.7(25),6.3,7.8,53.6,0.0,0.0,4.7
1993-3,11.0,16.5,5.4,25.4(17),-1.6(06),5.0,12.5,55.7,0.0,0.0,5.3
1993-4,12.2,17.6,6.7,27.6(20),2.8(18),11.6,12.2,194.1,1.0,0.0,4.9
1993-5,15.7,21.2,10.2,29.6(29),4.5(21),13.2,13.9,44.3,0.0,0.0,6.0
1993-6,18.2,22.9,13.4,33.3(18),8.7(03),16.7,16.3,68.1,0.0,1.0,6.1
1993-7,18.6,23.4,13.8,33.6(24),9.5(13),15.9,17.5,79.1,0.0,1.0,6.9
1993-8,20.3,25.6,14.9,35.7(21),8.9(30),16.4,18.5,111.4,1.0,6.0,5.9
1993-9,17.3,22.2,12.4,28.2(19),8.5(30),16.9,17.4,86.6,0.0,0.0,5.2
1993-10,14.2,18.1,10.2,25.3(10),4.0(27),9.6,16.0,83.9,0.0,0.0,3.5
1993-11,10.6,15.8,5.3,22.1(01),-0.5(16),10.7,12.8,74.4,0.0,0.0,3.8
1993-12,10.9,14.6,7.1,20.6(20),3.0(13),9.8,12.7,208.9,2.0,0.0,1.9
1993-13,13.9,18.9,8.9,35.7(21/ago),-5.7(25/feb),5.0,18.5,1066.5,4.0,8.0,4.8
