fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2012-1,9.7,13.5,5.8,17.3(01),1.2(12),9.8,11.2,119.9,0.0,0.0,2.3
2012-2,6.6,10.8,2.4,20.1(29),-3.0(11),3.0,8.7,93.7,0.0,0.0,3.1
2012-3,12.3,18.1,6.5,26.7(24),2.8(10),10.8,12.5,43.7,0.0,0.0,6.1
2012-4,11.8,15.2,8.4,22.4(25),3.3(17),11.5,13.3,217.7,1.0,0.0,1.6
2012-5,17.2,22.6,11.8,35.3(10),7.9(16),14.0,20.0,64.2,0.0,3.0,6.4
2012-6,18.7,23.8,13.4,35.9(27),9.7(14),18.4,17.8,40.1,0.0,4.0,5.0
2012-7,19.0,24.5,13.3,34.7(26),9.2(02),18.1,18.8,19.6,0.0,4.0,6.7
2012-8,21.4,26.7,16.0,36.2(08),10.9(31),19.3,19.8,9.5,0.0,6.0,6.0
2012-9,18.6,23.9,13.2,32.4(07),8.1(20),18.3,21.7,55.5,0.0,4.0,4.7
2012-10,15.8,20.5,10.9,29.9(05),2.3(29),11.8,17.4,124.0,0.0,0.0,4.0
2012-11,11.6,15.8,7.4,23.3(14),2.6(22),7.9,13.4,134.1,1.0,0.0,2.9
2012-12,10.0,14.2,5.7,22.2(23),-1.0(12),7.5,12.0,109.0,0.0,0.0,2.4
2012-13,14.4,19.1,9.6,36.2(08/ago),-3.0(11/feb),3.0,21.7,1031.0,2.0,21.0,4.3
2013-1,8.6,12.3,4.8,19.9(30),1.1(05),6.5,9.9,303.4,3.0,0.0,2.2
2013-2,7.8,11.2,4.3,18.1(20),-0.4(27),3.5,8.8,291.1,1.0,0.0,1.8
2013-3,10.9,15.5,6.3,22.8(06),0.1(13),6.5,13.3,95.6,0.0,0.0,3.4
2013-4,11.7,16.8,6.7,28.5(14),1.6(28),8.4,12.7,126.8,0.0,0.0,4.6
2013-5,12.7,16.4,8.8,24.2(07),5.0(04),11.1,13.4,136.7,0.0,0.0,3.2
2013-6,16.6,20.8,12.4,27.8(12),7.6(04),15.0,16.0,113.1,0.0,0.0,4.8
2013-7,23.1,28.4,17.8,40.3(31),14.3(29),20.9,21.6,25.9,0.0,9.0,7.5
2013-8,20.9,26.0,15.8,34.1(21),12.9(29),21.5,20.9,40.8,0.0,2.0,5.7
2013-9,20.1,25.6,14.6,35.8(26),10.7(09),19.0,19.3,59.9,0.0,7.0,4.1
2013-10,18.7,24.2,13.2,32.3(03),5.4(31),15.3,19.9,60.9,0.0,2.0,3.4
2013-11,11.8,14.8,8.7,25.6(06),-0.2(28),7.5,16.8,341.6,2.0,0.0,1.0
2013-12,10.6,15.3,5.9,20.9(27),0.2(08),10.9,12.9,51.7,0.0,0.0,3.9
2013-13,14.5,18.9,9.9,40.3(31/jul),-0.4(27/feb),3.5,21.6,1647.5,6.0,20.0,3.8
2014-1,11.9,15.4,8.4,23.2(08),1.7(19),9.1,16.5,212.3,0.0,0.0,1.3
2014-2,10.7,15.8,5.5,24.7(06),2.5(04),10.8,12.5,120.2,1.0,0.0,2.7
2014-3,12.2,17.2,7.2,25.1(09),2.3(24),11.2,14.3,161.2,2.0,0.0,4.4
2014-4,15.2,20.4,10.1,28.7(06),6.1(18),14.3,16.0,49.8,0.0,0.0,4.6
2014-5,15.2,20.1,10.3,29.7(05),5.7(04),13.2,14.0,62.7,0.0,0.0,4.8
2014-6,20.0,25.3,14.6,34.6(06),8.4(05),16.9,18.8,18.2,0.0,4.0,6.2
2014-7,20.8,25.4,16.2,36.4(17),12.8(13),18.9,19.1,66.9,0.0,1.0,5.1
2014-8,20.9,25.8,15.9,32.6(27),10.3(17),19.7,20.0,22.0,0.0,3.0,4.8
2014-9,21.9,27.9,15.8,34.6(10),11.0(26),21.2,20.0,27.9,0.0,12.0,5.6
2014-10,20.1,26.4,13.8,31.3(19),7.5(23),19.7,20.1,20.0,0.0,6.0,5.1
2014-11,14.6,18.3,10.8,24.4(01),4.2(10),11.7,15.9,148.4,1.0,0.0,1.9
2014-12,9.6,13.1,6.0,17.9(22),-2.2(30),7.6,11.2,161.7,0.0,0.0,1.6
2014-13,16.1,20.9,11.2,36.4(17/jul),-2.2(30/dic),7.6,20.1,1071.3,4.0,26.0,4.0
