fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1991-1,4.3,8.0,0.6,16.5(10),-7.0(29),3.4,12.0,54.1,0.0,0.0,2.6
1991-2,4.0,8.9,-0.9,18.0(24),-8.0(15),1.9,3.4,32.0,0.0,0.0,3.7
1991-3,9.0,13.5,4.4,22.8(20),-0.5(18),7.2,9.4,81.2,0.0,0.0,3.7
1991-4,7.9,13.5,2.2,24.2(11),-3.1(22),5.2,8.0,174.0,1.0,0.0,4.9
1991-5,11.3,15.9,6.6,28.8(28),2.4(06),7.0,13.0,150.3,1.0,0.0,5.4
1991-6,15.5,21.6,9.4,31.5(25),1.0(19),14.0,15.4,5.4,0.0,3.0,7.0
1991-7,19.3,25.8,12.7,36.7(10),6.4(06),15.0,18.2,6.2,0.0,7.0,7.2
1991-8,21.4,29.2,13.5,36.6(28),9.5(02),18.0,16.6,6.3,0.0,13.0,9.3
1991-9,18.7,24.8,12.6,30.6(09),7.8(27),12.0,16.6,120.5,0.0,2.0,5.9
1991-10,10.5,14.9,6.0,21.6(04),-2.7(24),9.2,10.4,65.7,0.0,0.0,3.5
1991-11,7.6,11.7,3.5,19.0(03),-3.4(24),6.0,10.0,135.0,1.0,0.0,2.9
1991-12,4.6,9.0,0.2,12.4(01),-5.6(26),3.2,7.4,7.6,0.0,0.0,3.7
1991-13,11.2,16.4,5.9,36.7(10/jul),-8.0(15/feb),1.9,18.2,838.3,3.0,25.0,5.0
1992-1,2.6,5.7,-0.5,15.2(08),-5.1(29),0.5,4.6,14.3,0.0,0.0,2.0
1992-2,5.1,11.0,-0.8,16.3(15),-6.5(03),5.2,7.0,7.2,0.0,0.0,4.9
1992-3,6.9,12.6,1.3,23.4(20),-2.6(03),5.2,7.4,129.4,2.0,0.0,3.5
1992-4,9.5,15.3,3.7,26.2(26),-1.6(12),7.6,8.0,80.4,0.0,0.0,5.7
1992-5,14.7,21.7,7.7,30.0(16),1.0(12),9.6,12.4,72.5,0.0,1.0,8.1
1992-6,13.4,18.4,8.4,29.4(28),2.0(05),12.6,14.4,156.4,2.0,0.0,5.0
1992-7,19.3,25.4,13.2,35.7(26),6.0(11),15.0,18.2,22.5,0.0,9.0,6.6
1992-8,20.2,27.2,13.2,35.0(02),8.2(10),19.0,18.0,69.9,1.0,11.0,7.7
1992-9,15.9,21.8,9.9,30.1(16),4.2(01),13.2,15.3,55.2,0.0,1.0,5.6
1992-10,10.3,13.7,6.9,23.5(01),0.0(22),8.8,13.0,238.4,2.0,0.0,2.0
1992-11,10.3,14.3,6.3,18.4(26),-1.4(23),9.0,13.6,41.9,0.0,0.0,3.4
1992-12,6.3,9.6,2.9,16.2(02),-5.6(31),4.4,6.9,86.1,0.0,0.0,1.7
1992-13,11.2,16.4,6.0,35.7(26/jul),-6.5(03/feb),0.5,18.2,974.2,7.0,22.0,4.7
1993-1,5.1,9.5,0.7,15.6(13),-4.4(23),4.2,11.2,0.2,0.0,0.0,2.9
1993-2,4.1,9.4,-1.2,13.6(09),-8.7(25),0.6,4.2,51.0,0.0,0.0,4.3
1993-3,7.8,13.4,2.1,23.5(18),-4.6(06),0.8,9.2,27.8,0.0,0.0,5.3
1993-4,10.0,15.8,4.1,24.0(08),-0.3(18),7.8,9.8,114.8,1.0,0.0,5.9
1993-5,13.3,19.2,7.4,26.0(29),1.5(21),12.0,13.0,87.4,0.0,0.0,6.4
1993-6,17.3,23.5,11.1,32.0(18),6.0(03),16.7,15.0,71.4,0.0,3.0,7.5
1993-7,16.9,23.0,10.8,34.8(24),5.1(13),14.2,15.2,24.5,0.0,5.0,7.3
1993-8,18.8,25.1,12.5,34.4(21),5.4(30),15.6,16.6,73.2,1.0,9.0,7.2
1993-9,14.9,20.0,9.7,26.4(03),3.5(29),12.0,14.6,78.5,0.0,0.0,5.5
1993-10,10.9,14.4,7.4,20.1(11),1.6(30),7.2,11.6,74.6,0.0,0.0,3.4
1993-11,6.7,11.3,2.1,18.2(04),-4.6(17),4.4,10.0,44.5,0.0,0.0,3.6
1993-12,6.8,10.6,3.0,15.0(20),-2.2(15),5.8,7.4,162.8,1.0,0.0,2.6
1993-13,11.1,16.3,5.8,34.8(24/jul),-8.7(25/feb),0.6,16.6,810.7,3.0,17.0,5.2
