fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2009-1,4.7,8.5,0.8,15.2(30),-7.8(09),-0.2,10.1,139.7,2.0,0.0,2.4
2009-2,5.4,10.0,0.8,18.0(27),-3.8(15),2.8,4.9,62.9,0.0,0.0,4.2
2009-3,7.7,14.1,1.2,23.0(13),-4.2(25),4.4,7.2,67.0,0.0,0.0,5.8
2009-4,9.6,15.0,4.2,25.5(24),-0.5(03),8.6,7.0,53.9,0.0,0.0,5.4
2009-5,14.8,21.1,8.5,29.4(29),1.8(05),12.5,13.4,26.1,0.0,0.0,7.8
2009-6,18.1,25.1,11.1,34.5(13),6.0(02),18.8,16.7,34.3,0.0,6.0,7.7
2009-7,20.0,27.4,12.6,35.2(26),7.6(31),18.2,16.9,27.8,0.0,10.0,8.8
2009-8,20.3,27.4,13.2,37.0(19),8.0(31),17.8,18.8,7.3,0.0,11.0,7.4
2009-9,17.1,23.1,11.0,32.7(08),6.0(06),14.8,15.3,73.1,1.0,4.0,5.6
2009-10,13.7,19.4,8.0,28.3(06),-2.5(19),12.2,14.8,43.4,0.0,0.0,5.6
2009-11,10.1,14.1,6.0,21.4(01),-0.8(24),7.4,12.8,127.8,1.0,0.0,3.3
2009-12,5.2,8.8,1.6,15.6(07),-8.5(19),0.8,10.2,65.8,0.0,0.0,2.2
2009-13,12.2,17.8,6.6,37.0(19/ago),-8.5(19/dic),-0.2,18.8,729.1,4.0,31.0,5.5
2010-1,3.5,6.7,0.3,14.6(22),-12.4(10),-0.5,6.8,125.2,0.0,0.0,1.9
2010-2,4.8,8.3,1.2,18.0(27),-3.6(03),-0.5,9.0,40.7,0.0,0.0,3.3
2010-3,7.5,12.3,2.7,19.0(17),-4.0(16),2.5,9.9,27.8,0.0,0.0,4.3
2010-4,11.5,18.2,4.8,27.8(28),-2.0(05),11.0,12.4,10.2,0.0,0.0,7.1
2010-5,11.7,17.6,5.8,27.6(24),0.5(07),6.5,13.6,63.3,0.0,0.0,6.3
2010-6,15.6,21.7,9.6,30.5(05),4.9(07),13.5,15.0,77.5,0.0,1.0,6.6
2010-7,19.5,26.7,12.3,34.6(08),6.2(24),18.0,16.7,7.8,0.0,8.0,7.8
2010-8,19.0,26.6,11.4,36.5(21),5.6(31),19.0,17.0,7.1,0.0,9.0,7.6
2010-9,16.1,23.8,8.3,34.4(05),1.8(19),15.5,14.0,24.5,0.0,3.0,6.3
2010-10,12.0,18.0,6.0,28.4(02),-0.7(27),11.5,16.0,69.5,0.0,0.0,4.7
2010-11,7.6,11.4,3.8,18.5(03),-6.0(29),4.7,11.4,112.5,0.0,0.0,2.7
2010-12,3.7,7.9,-0.6,16.3(06),-8.0(26),2.0,8.2,82.4,0.0,0.0,2.7
2010-13,11.0,16.6,5.5,36.5(21/ago),-12.4(10/ene),-0.5,17.0,648.5,0.0,21.0,5.1
2011-1,5.3,9.2,1.4,17.6(06),-5.6(24),3.0,11.7,15.1,0.0,0.0,2.7
2011-2,6.5,12.0,1.0,18.1(07),-4.2(06),4.6,8.1,92.7,0.0,0.0,3.9
2011-3,8.5,13.3,3.7,22.0(31),-2.4(06),5.6,8.6,55.3,0.0,0.0,4.3
2011-4,12.9,19.6,6.2,29.1(08),-0.3(13),11.1,11.1,54.7,0.0,0.0,6.6
2011-5,15.0,21.8,8.2,31.2(25),3.5(15),14.4,11.6,51.8,0.0,1.0,6.3
2011-6,16.4,22.9,9.9,36.8(26),4.1(24),14.3,15.8,6.1,0.0,5.0,6.5
2011-7,17.3,23.9,10.7,32.2(11),5.0(01),17.0,16.4,33.9,0.0,2.0,7.6
2011-8,20.4,28.2,12.6,37.2(20),5.2(28),20.8,17.2,21.3,0.0,12.0,7.8
2011-9,18.4,26.2,10.5,34.5(09),5.5(06),16.0,16.2,10.0,0.0,5.0,6.8
2011-10,13.2,21.1,5.4,28.8(02),-2.2(21),12.5,10.5,24.2,0.0,0.0,6.3
2011-11,10.7,15.0,6.3,20.5(11),-1.0(28),8.5,12.8,68.5,0.0,0.0,3.7
2011-12,6.3,10.1,2.6,14.0(14),-4.5(26),5.5,9.2,70.0,0.0,0.0,2.4
2011-13,12.6,18.6,6.5,37.2(20/ago),-5.6(24/ene),3.0,17.2,503.6,0.0,25.0,5.4
