fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1988-1,6.6,10.3,2.9,15.0(05),-2.4(14),6.0,9.0,114.9,1.0,0.0,2.2
1988-2,5.2,9.7,0.8,14.8(09),-3.6(20),1.2,9.8,91.1,0.0,0.0,4.7
1988-3,7.2,13.0,1.4,21.6(19),-5.8(03),3.0,9.8,77.9,0.0,0.0,4.6
1988-4,10.3,15.0,5.5,22.4(21),-0.8(02),8.8,9.4,150.6,1.0,0.0,3.8
1988-5,13.1,18.1,8.1,24.0(25),2.4(20),10.8,12.4,102.0,0.0,0.0,4.5
1988-6,15.1,20.3,9.9,25.7(22),3.6(07),14.2,16.4,56.3,0.0,0.0,4.7
1988-7,17.5,24.5,10.5,33.3(22),6.2(30),16.0,15.8,69.8,1.0,6.0,8.1
1988-8,18.6,24.8,12.4,33.5(01),4.0(30),17.6,17.8,18.1,0.0,6.0,7.2
1988-9,16.3,22.6,10.1,37.2(07),6.8(30),12.0,14.8,26.4,0.0,5.0,5.7
1988-10,13.3,20.0,6.6,26.0(04),2.0(02),13.6,12.2,17.7,0.0,0.0,5.5
1988-11,7.5,13.7,1.3,20.5(01),-9.4(24),3.0,11.3,12.2,0.0,0.0,4.4
1988-12,4.6,7.7,1.5,12.4(04),-4.0(31),-0.5,6.7,49.4,0.0,0.0,2.1
1988-13,11.3,16.6,5.9,37.2(07/sep),-9.4(24/nov),-0.5,17.8,786.4,3.0,17.0,4.8
1989-1,2.6,7.2,-1.9,12.0(29),-8.4(02),-2.0,3.5,28.6,0.0,0.0,3.2
1989-2,6.2,12.4,0.0,20.6(19),-5.6(17),7.2,6.4,57.1,0.0,0.0,4.9
1989-3,9.5,15.5,3.5,24.0(26),-4.4(20),7.9,9.2,13.0,0.0,0.0,5.4
1989-4,8.1,12.9,3.3,19.6(19),-1.0(22),5.0,8.7,174.2,2.0,0.0,4.5
1989-5,14.9,22.1,7.7,27.6(06),1.4(02),13.4,14.2,44.8,1.0,0.0,7.6
1989-6,16.7,23.9,9.4,31.0(12),1.5(06),13.9,13.4,5.1,0.0,3.0,8.6
1989-7,19.8,26.7,13.0,38.0(20),8.7(15),19.5,20.0,34.1,0.0,7.0,8.7
1989-8,19.8,26.8,12.8,33.6(19),5.6(29),20.0,18.0,45.4,1.0,5.0,7.9
1989-9,15.9,22.6,9.1,30.2(16),5.2(05),17.0,14.5,21.5,0.0,1.0,6.7
1989-10,13.7,20.1,7.2,25.4(22),1.0(12),13.6,13.4,7.7,0.0,0.0,6.0
1989-11,10.6,14.3,6.8,21.0(01),1.0(10),9.2,11.0,110.6,1.0,0.0,2.5
1989-12,9.3,12.7,6.0,18.7(16),-1.2(05),6.3,14.2,27.3,0.0,0.0,2.8
1989-13,12.3,18.1,6.4,38.0(20/jul),-8.4(02/ene),-2.0,20.0,569.4,5.0,16.0,5.7
1990-1,4.9,9.4,0.5,14.7(25),-5.6(22),1.8,8.0,34.2,0.0,0.0,3.5
1990-2,9.6,15.5,3.8,20.5(24),-4.0(04),10.0,10.0,9.2,0.0,0.0,5.9
1990-3,8.4,14.9,1.9,26.6(21),-7.0(04),6.4,8.2,13.4,0.0,0.0,5.6
1990-4,8.4,12.8,4.0,22.6(29),-0.2(04),7.7,9.2,147.7,0.0,0.0,3.4
1990-5,14.5,21.5,7.5,27.5(31),2.6(29),15.6,12.6,62.8,0.0,0.0,7.1
1990-6,16.2,22.3,10.1,32.4(25),5.4(18),15.2,16.4,44.7,0.0,2.0,6.3
1990-7,19.5,28.1,10.8,37.1(21),5.6(07),17.4,17.9,16.7,0.0,12.0,9.5
1990-8,20.2,28.3,12.1,37.0(04),5.3(18),18.2,18.0,29.3,0.0,14.0,8.6
1990-9,18.6,25.4,11.7,30.8(28),6.5(25),17.9,16.3,24.1,0.0,2.0,6.7
1990-10,13.7,18.9,8.5,25.0(13),1.2(27),12.7,16.0,81.6,0.0,0.0,4.6
1990-11,7.6,11.4,3.7,18.5(12),-2.2(06),4.0,10.5,78.7,0.0,0.0,2.5
1990-12,2.7,6.6,-1.2,15.0(29),-7.6(21),1.6,10.0,69.3,0.0,0.0,2.7
1990-13,12.0,17.9,6.1,37.1(21/jul),-7.6(21/dic),1.6,18.0,611.7,0.0,30.0,5.5
