fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2012-1,5.1,9.0,1.1,14.0(19),-3.5(15),2.5,7.5,23.6,0.0,0.0,2.0
2012-2,3.0,7.5,-1.6,20.4(29),-7.5(22),-0.6,6.2,63.1,0.0,0.0,4.1
2012-3,8.7,16.4,0.9,24.8(14),-2.1(01),6.0,4.4,23.9,0.0,0.0,7.2
2012-4,8.8,13.3,4.2,22.0(09),-0.8(17),7.6,9.4,94.9,0.0,0.0,3.6
2012-5,14.2,21.2,7.3,30.2(10),0.8(02),10.2,13.7,50.3,0.0,2.0,7.7
2012-6,18.0,25.8,10.2,34.5(27),5.0(22),18.0,14.4,15.3,0.0,5.0,7.8
2012-7,18.0,26.1,9.8,35.1(18),3.2(02),17.4,16.1,31.4,0.0,9.0,8.1
2012-8,21.0,29.5,12.5,40.8(10),7.0(26),16.8,19.3,4.8,0.0,15.0,8.3
2012-9,17.1,24.3,9.9,32.5(07),3.9(20),16.2,16.2,25.8,0.0,5.0,6.3
2012-10,13.2,19.4,7.0,29.0(08),-1.5(30),9.2,14.4,77.5,0.0,0.0,4.4
2012-11,8.0,12.6,3.3,19.3(14),-1.2(22),5.5,9.5,84.3,0.0,0.0,3.5
2012-12,6.6,10.7,2.4,16.5(22),-3.0(31),4.7,8.8,37.6,0.0,0.0,3.3
2012-13,11.8,18.0,5.6,40.8(10/ago),-7.5(22/feb),-0.6,19.3,532.5,0.0,36.0,5.5
2013-1,5.7,10.0,1.5,16.8(31),-4.3(09),4.7,5.2,243.2,2.0,0.0,3.3
2013-2,4.8,8.3,1.3,14.0(20),-2.6(28),1.3,6.4,232.0,2.0,0.0,2.4
2013-3,8.5,12.9,4.1,19.4(06),-2.2(03),3.0,10.2,113.3,0.0,0.0,4.2
2013-4,10.0,15.5,4.4,27.2(17),-1.6(21),4.9,9.9,76.9,0.0,0.0,5.6
2013-5,10.5,15.4,5.6,24.7(06),1.0(16),11.0,13.8,63.9,0.0,0.0,4.3
2013-6,14.8,20.6,9.1,31.0(16),2.7(04),13.7,13.1,87.4,0.0,2.0,7.0
2013-7,21.6,29.2,13.9,35.8(31),9.3(07),22.8,18.8,30.5,0.0,13.0,9.7
2013-8,19.3,25.8,12.7,36.8(01),8.0(31),20.2,20.5,15.2,0.0,6.0,7.6
2013-9,17.4,24.3,10.6,31.2(04),5.2(22),17.5,14.3,20.6,0.0,5.0,6.3
2013-10,14.6,20.3,8.9,27.8(03),0.3(31),12.2,17.2,21.1,0.0,0.0,4.7
2013-11,7.9,11.0,4.8,19.9(06),-4.0(28),5.0,12.4,170.8,0.0,0.0,1.9
2013-12,5.1,9.4,0.9,15.2(27),-3.4(09),4.0,8.3,41.7,0.0,0.0,3.7
2013-13,11.7,16.9,6.5,36.8(01/ago),-4.3(09/ene),1.3,20.5,1116.6,4.0,26.0,5.1
2014-1,7.4,10.6,4.0,17.1(08),-1.2(19),4.3,11.0,132.6,0.0,0.0,2.1
2014-2,6.5,11.3,1.6,20.3(14),-2.0(02),6.1,10.2,84.8,0.0,0.0,4.4
2014-3,8.4,14.6,2.2,24.7(17),-1.9(24),7.4,8.2,165.0,2.0,0.0,5.3
2014-4,12.5,19.0,6.0,25.7(16),0.4(18),11.7,10.5,50.5,0.0,0.0,6.5
2014-5,12.4,18.4,6.2,25.8(18),1.5(14),12.7,10.5,35.3,0.0,0.0,6.5
2014-6,17.6,24.9,10.3,31.3(20),3.6(02),13.3,16.0,39.2,0.0,3.0,8.6
2014-7,18.8,25.4,12.2,35.8(17),7.5(13),19.2,16.4,45.6,0.0,4.0,7.1
2014-8,18.7,25.5,11.8,34.0(25),4.0(17),15.8,17.8,21.9,0.0,6.0,7.3
2014-9,18.9,26.2,11.6,32.0(06),6.4(24),18.1,16.0,55.4,0.0,6.0,6.8
2014-10,15.8,22.4,9.2,27.4(18),0.9(23),17.0,17.0,16.5,0.0,0.0,6.3
2014-11,10.4,14.0,6.8,19.6(01),0.0(10),8.5,11.4,137.2,1.0,0.0,2.7
2014-12,6.1,9.1,3.2,12.4(17),-5.8(31),3.4,7.6,135.8,1.0,0.0,1.9
2014-13,12.8,18.5,7.1,35.8(17/jul),-5.8(31/dic),3.4,17.8,919.8,4.0,19.0,5.5
