fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
2018-1,6.2,10.2,2.2,16.5(03),-3.4(31),4.6,10.6,132.4,0.0,0.0,2.7
2018-2,4.0,7.5,0.4,17.4(16),-7.6(27),2.7,9.0,92.7,0.0,0.0,2.8
2018-3,8.0,12.5,3.5,18.5(28),-2.8(23),4.0,9.6,82.3,0.0,0.0,4.7
2018-4,11.8,17.3,6.2,26.2(24),0.2(01),8.0,12.3,117.4,0.0,0.0,5.7
2018-5,12.6,18.5,6.7,25.5(07),-0.2(11),10.9,12.5,54.4,0.0,0.0,5.2
2018-6,17.5,23.6,11.4,31.6(26),7.0(15),17.0,17.6,54.9,0.0,3.0,6.7
2018-7,20.8,27.1,14.5,31.4(30),10.5(23),21.4,19.4,73.0,0.0,3.0,8.2
2018-8,20.2,27.5,12.8,35.8(06),8.5(10),19.0,18.0,1.5,0.0,10.0,8.0
2018-9,19.1,26.9,11.3,32.4(02),3.9(25),19.6,17.0,6.6,0.0,5.0,7.7
2018-10,12.7,18.3,7.0,26.5(05),-0.6(30),6.7,12.5,101.3,1.0,0.0,5.0
2018-11,9.4,13.8,5.0,18.7(15),-1.2(04),7.1,11.7,80.6,0.0,0.0,3.8
2018-12,7.0,12.2,1.7,16.7(05),-3.6(31),4.5,9.0,24.3,0.0,0.0,3.2
2018-13,12.4,18.0,6.9,35.8(06/ago),-7.6(27/feb),2.7,19.4,821.4,1.0,21.0,5.3
2019-1,4.8,8.7,0.9,13.4(26),-7.7(06),4.5,6.9,196.3,2.0,0.0,2.5
2019-2,7.2,14.2,0.2,22.6(27),-3.0(23),5.2,5.0,52.0,1.0,0.0,6.5
2019-3,8.7,15.6,1.6,23.6(16),-2.9(22),8.1,6.3,19.2,0.0,0.0,7.3
2019-4,10.1,15.9,4.1,22.3(15),-3.5(13),9.0,10.5,70.0,0.0,0.0,5.5
2019-5,12.1,18.8,5.3,29.1(31),-1.6(06),11.5,11.0,50.0,0.0,0.0,6.9
2019-6,18.2,26.6,9.7,39.7(29),1.6(12),14.9,19.0,14.6,0.0,13.0,8.7
2019-7,20.6,28.0,13.2,38.9(25),7.1(31),17.0,18.6,53.6,0.0,10.0,7.8
2019-8,20.7,27.9,13.3,34.7(24),7.3(23),19.2,18.3,25.5,0.0,11.0,8.5
2019-9,17.2,23.9,10.6,29.4(29),3.6(09),14.8,15.6,42.1,0.0,0.0,6.6
2019-10,14.6,20.6,8.6,27.6(13),2.2(21),11.4,14.5,48.9,0.0,0.0,5.7
2019-11,8.7,12.2,5.1,21.9(01),-0.4(16),4.8,14.2,253.0,1.0,0.0,2.1
2019-12,6.8,11.2,2.4,17.3(21),-2.6(28),1.4,10.2,86.4,1.0,0.0,2.5
2019-13,12.5,18.6,6.3,39.7(29/jun),-7.7(06/ene),1.4,19.0,911.6,5.0,34.0,5.9
2020-1,5.5,9.9,1.0,17.7(31),-3.9(06),2.8,10.6,29.4,0.0,0.0,3.3
2020-2,9.0,15.3,2.6,21.7(03),-2.8(20),8.9,10.4,8.5,0.0,0.0,5.6
2020-3,8.5,14.6,2.3,23.7(11),-3.0(27),6.7,8.1,76.5,0.0,0.0,5.4
2020-4,12.8,18.1,7.6,23.1(09),-2.0(04),11.8,11.8,64.2,0.0,0.0,5.3
2020-5,15.7,22.9,8.4,29.4(30),3.5(18),13.9,13.3,110.7,1.0,0.0,7.8
2020-6,17.0,23.2,10.6,33.5(23),5.5(12),14.2,15.5,48.0,0.0,2.0,6.8
2020-7,19.6,27.1,12.0,37.1(30),5.0(04),18.6,16.5,8.7,0.0,8.0,8.7
2020-8,20.3,28.0,12.5,38.0(07),4.0(31),16.7,18.4,38.6,0.0,12.0,7.4
2020-9,17.3,24.7,9.8,32.8(13),4.5(30),12.7,16.6,70.2,0.0,7.0,7.0
2020-10,11.9,17.0,6.7,22.4(06),1.1(17),9.8,12.6,119.3,0.0,0.0,4.5
2020-11,9.8,15.0,4.6,21.1(01),-2.0(22),8.5,13.0,29.6,0.0,0.0,4.3
2020-12,6.4,9.6,3.1,15.4(11),-0.9(05),5.1,8.9,172.6,0.0,0.0,2.3
2020-13,12.8,18.8,6.8,38.0(07/ago),-3.9(06/ene),2.8,18.4,776.3,1.0,29.0,5.7
