fecha,tm_mes,tm_max,tm_min,ta_max,ta_min,ti_max,ts_min,p_mes,np_300,nt_30,inso
1985-1,0.9,4.8,-2.9,12.8(21),-17.8(08),-4.6,7.0,74.6,0.0,0.0,1.4
1985-2,7.2,11.9,2.6,16.4(27),-5.2(20),7.6,10.2,34.5,0.0,0.0,4.2
1985-3,5.9,9.8,1.9,19.4(31),-3.8(29),4.6,9.8,87.4,0.0,0.0,2.7
1985-4,10.1,16.1,4.2,23.2(03),-0.4(16),9.4,9.8,48.7,0.0,0.0,5.5
1985-5,11.1,15.7,6.5,25.8(30),0.8(11),7.6,12.8,118.1,0.0,0.0,3.5
1985-6,15.1,21.3,9.0,31.6(30),2.8(09),13.6,13.2,38.9,0.0,2.0,5.8
1985-7,19.4,25.9,12.8,35.6(25),8.8(11),17.2,16.8,75.2,1.0,10.0,6.6
1985-8,18.0,25.4,10.6,34.2(21),5.2(28),15.4,15.8,15.3,0.0,6.0,8.3
1985-9,17.9,26.3,9.5,31.4(12),5.0(14),19.2,13.2,1.8,0.0,4.0,6.9
1985-10,13.7,20.3,7.1,28.0(02),2.4(21),11.6,16.6,24.8,0.0,0.0,5.2
1985-11,6.0,9.8,2.2,21.6(09),-6.8(28),0.4,15.6,135.1,2.0,0.0,1.9
1985-12,5.1,9.4,0.9,14.4(04),-7.8(30),1.8,7.4,28.1,0.0,0.0,2.7
1985-13,10.9,16.4,5.4,35.6(25/jul),-17.8(08/ene),-4.6,16.8,682.5,3.0,22.0,4.6
1986-1,5.1,8.1,2.1,13.2(19),-2.2(14),2.4,6.8,168.5,1.0,0.0,1.9
1986-2,4.7,7.7,1.7,13.8(23),-6.8(10),0.8,8.4,62.5,0.0,0.0,2.0
1986-3,7.2,12.6,1.9,19.8(24),-5.4(09),7.2,8.6,32.9,0.0,0.0,4.5
1986-4,5.8,9.7,1.9,17.8(01),-2.2(14),2.4,6.0,73.2,0.0,0.0,3.6
1986-5,13.9,20.5,7.3,29.4(12),-2.2(01),12.4,12.6,39.9,0.0,0.0,6.7
1986-6,15.9,22.3,9.6,32.8(26),2.4(09),13.2,16.8,30.2,0.0,2.0,6.8
1986-7,17.7,24.9,10.6,35.6(30),6.4(01),17.6,17.2,0.5,0.0,6.0,8.4
1986-8,17.7,25.1,10.3,34.8(16),0.8(30),16.6,14.6,38.1,0.0,7.0,7.2
1986-9,17.4,22.9,11.8,31.4(05),6.0(02),13.2,18.8,93.4,0.0,1.0,4.9
1986-10,13.7,19.2,8.1,25.8(04),1.2(24),11.4,13.4,52.4,0.0,0.0,4.9
1986-11,7.5,12.5,2.6,17.6(07),-4.6(30),8.4,10.2,30.7,0.0,0.0,4.3
1986-12,4.9,8.5,1.4,13.2(07),-4.0(30),2.2,5.8,96.6,0.0,0.0,2.4
1986-13,11.0,16.2,5.8,35.6(30/jul),-6.8(10/feb),0.8,18.8,718.9,1.0,16.0,4.8
1987-1,1.8,5.0,-1.5,13.2(28),-7.8(18),-1.8,6.0,108.7,1.0,0.0,1.8
1987-2,4.9,8.5,1.3,15.6(27),-4.4(20),0.4,8.8,78.3,0.0,0.0,2.0
1987-3,7.7,13.0,2.5,19.6(01),-5.0(18),3.8,9.6,57.4,0.0,0.0,3.6
1987-4,11.7,17.5,5.9,25.4(27),-1.6(01),8.8,12.8,45.1,0.0,0.0,5.8
1987-5,11.5,17.3,5.7,27.8(30),-0.2(18),8.2,9.6,18.8,0.0,0.0,5.6
1987-6,15.6,22.0,9.1,33.4(28),2.2(17),13.2,16.6,68.9,0.0,2.0,7.6
1987-7,18.0,23.3,12.7,30.4(05),5.6(27),16.8,16.8,54.7,0.0,4.0,4.9
1987-8,20.3,27.8,12.8,38.6(13),6.4(26),17.2,17.2,28.7,0.0,11.0,7.1
1987-9,19.2,27.2,11.3,36.4(13),3.6(29),16.2,14.8,14.2,0.0,11.0,6.2
1987-10,12.6,17.9,7.2,23.0(02),0.4(11),11.5,15.6,115.5,0.0,0.0,2.9
1987-11,7.5,11.6,3.5,20.0(01),-0.6(29),4.2,10.2,149.1,1.0,0.0,2.2
1987-12,5.8,10.2,1.5,18.0(17),-5.2(30),4.0,12.2,40.5,0.0,0.0,2.4
1987-13,11.4,16.8,6.0,38.6(13/ago),-7.8(18/ene),-1.8,17.2,779.9,2.0,28.0,4.3
